MYPN	ACTN2
ACVR1	FNTA
GATA2	PML
RPA2	STAT3
ARF1	GGA3
XRN1	ALDOA
APLP1	DAB1
CSF1R	GRB2
BCL3	BARD1
ADRB1	GIPC1
BRCA1	ATF1
BRCA1	MSH2
BRCA1	BARD1
BRCA1	MSH6
ORC1	MCM2
ORC4	MCM2
MCM5	MCM2
CDC7	MCM2
ORC2	MCM2
RPA2	MCM2
AKAP8	MCM2
RPA1	MCM2
ORC5	MCM2
MCM3	MCM2
DOCK8	CDC42
CDKN3	CDK2
HAND2	CENPB
ATF2	SMAD3
ATF2	SMAD4
CCND3	EIF3K
PPIB	CAMLG
CSK	INSR
CSK	IGF1R
SIM2	ARNT
SIM1	ARNT
NPAS4	ARNT
FLNA	DRD3
EP300	EGR1
DDX54	ESR1
TGFB1	FNTA
SUMO1	FAS
FGFR1	FRS3
GRIK2	PICK1
GRIK1	PICK1
CCNT1	GRN
RGS19	GNAZ
RGS19	GNAI2
RGS19	GNAI3
LIMK1	NRG1
XRN1	BAG6
IGF1R	IRS1
SOCS1	IGF1R
INSR	IRS1
JAK2	SOCS1
LMNA	LMNB1
LMNA	NARF
BNIPL	BCL2
BNIP2	BCL2
RTN4	BCL2
BCL2	BECN1
NFKB1	LYL1
SKAP1	PTPRC
NCF4	XRCC6
XRCC5	XRCC6
CBX5	XRCC6
PIAS4	LEF1
MITF	LEF1
MITF	PIAS3
MITF	PATZ1
MCM7	ORC1
MCM7	CDC7
MCM7	ORC3
MCM7	RPA1
MCM7	FHL2
MCM7	ORC2
MCM7	ORC5
KMT2A	PPIE
LSM7	NPY1R
NOP2	MCRS1
ETS1	DAXX
ETS2	CDK10
CSF1R	SOCS1
SNW1	SKI
GLMN	MET
KDM5B	FOXG1
MYO1C	CBL
PDE6D	RHOB
PDE6D	RHOA
PAX5	TLE4
KDM5B	PAX9
NRBF2	PPARA
APOA1	PDE1A
PKD1	PKD2
PKD2	TRPC1
KCNA4	DLG1
HUS1	PCNA
PTPRB	MAGI3
FER	TMF1
EP300	MAF
CD2AP	RAB4A
RIN3	RAB5B
PDE6D	RAP1A
KRIT1	RAP1A
