PSMD8	MAP2	1
WDR36	GRWD1	1
HGS	FLOT1	1
SRPK2	SRPK1	1
RAI1	LZTR1	1
IFIT1	TFEB	1
MATR3	ILF3	1
CDK8	SMAD5	1
CD1B	GHITM	1
UXT	GPN3	1
TAF5	TAF13	1
BCL2	BARD1	1
CDK8	LZIC	1
TGFB1	MEOX2	1
RPRD2	RPA2	1
TAF1	TAF7L	1
PLD2	EGLN1	1
VIPR2	YIPF3	1
FXR2	CAND1	1
HDAC2	EHMT2	1
AKT1	CUL1	1
PAK2	MAPK3	1
PIN1	SRRM2	1
CBR1	UBA5	1
IPPK	ENPP4	1
ZZZ3	KAT2A	1
CDK1	GATA2	1
SSR1	TMX1	1
JAK1	BRCA1	1
SF3B3	NAGK	1
NOL10	NAT10	1
TRAF1	MYEF2	1
BAG2	WDR83	1
DMAP1	ING3	1
CDC5L	PTBP2	1
MED24	VDR	1
NRP2	NXPH2	1
CASR	HIF1A	1
CDK4	GRM1	1
MYL6	TES	1
MED24	CDK8	1
ISY1	PPIE	1
CTGF	ACTB	1
CDK2	ERH	1
KDM6B	SMAD4	1
ESR2	PIAS3	1
NXF2	LUZP4	1
NTRK1	MEPCE	1
CDK8	MED18	1
HECW2	NOSIP	1
FLOT1	CBL	1
LARP7	SNURF	1
TSC1	ESR2	1
PTBP1	BRCA1	1
BRD4	CUL1	1
LARP1	RNF31	1
CDK2	SMC1A	1
PCNT	MBD3	1
SYCE1	ARNT2	1
NNMT	GLOD4	1
UBE2C	UBC	1
CCDC8	BAZ1B	1
AP2M1	ITSN2	1
LRBA	KIF15	1
PAK1	SNW1	1
AQR	PPIE	1
SRP19	ACTN1	1
SEPT7	SEPT1	1
HPS6	OSGEP	1
ESR2	DECR2	1
RBBP7	SAP25	1
AURKA	PUM2	1
TLE1	EZH2	1
COX6C	COQ2	1
MCM3	CRY1	1
XPO1	ANKS3	1
COQ2	SFXN1	1
BCL3	KAT5	1
PRPF3	SART3	1
WIZ	BRCA1	1
MYC	GRM1	1
POTEI	PIGO	1
CDK1	FEN1	1
WWP2	VPS11	1
IGLC7	PPT1	1
RAB2A	POC5	1
JADE1	KAT5	1
PLK4	TTK	1
BCL2	PML	1
PUS7	RBM8A	1
AP1S1	AP2B1	1
RBM5	ILF3	1
TRAF2	APEX2	1
USMG5	UNK	1
DDX23	RPA2	1
SNTB2	SNTG2	1
SF3A2	SF3B5	1
SAFB2	GIT2	1
FMR1	CYLD	1
ARAF	CDC37	1
SF3A1	ESR2	1
CUL3	PHIP	1
ARSA	KLK5	1
XPO1	HAUS1	1
DPF3	BCL7B	1
NF1	LPIN3	1
PLCB3	TRPM7	1
KIFC1	CCDC8	1
HUWE1	WIPI2	1
ESR2	ACAD9	1
THEM6	EGLN3	1
XPOT	ECT2	1
BAG1	NXF1	1
ATR	RHEB	1
